0102 17:04:00004 :: 
0102 17:04:00005 :: ## Network - OffLine Phase ##
0102 17:04:00005 :: 
0102 17:04:00366 :: importing from pack debuginfo
0102 17:04:00810 :: importing from lib dbg
0102 17:04:00810 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00810 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:00810 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00811 :: importing from lib Js4k2l7BrdasmVRt8Wem
0102 17:04:00811 :: importing from lib grp
0102 17:04:00811 :: importing from lib wndMgr
0102 17:04:00811 :: importing from lib skill
0102 17:04:00812 :: importing from lib shop
0102 17:04:00812 :: importing from lib exchange
0102 17:04:00812 :: importing from lib safebox
0102 17:04:00812 :: importing from sys.modules localeinfo
0102 17:04:00813 :: importing from lib background
0102 17:04:00813 :: importing from lib nonplayer
0102 17:04:00813 :: importing from sys.modules ui
0102 17:04:00813 :: importing from sys.modules constinfo
0102 17:04:00813 :: importing from lib renderTarget
0102 17:04:00815 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00815 :: importing from lib shop
0102 17:04:00816 :: importing from sys.modules uiphasecurtain
0102 17:04:00816 :: importing from pack uimapnameshower
0102 17:04:00820 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00821 :: importing from sys.modules ui
0102 17:04:00821 :: importing from pack uiscriptlocale
0102 17:04:00822 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00823 :: SYSERR: Carregando arquivo via pack: locale/pt/locale_interface.txt
0102 17:04:00833 :: 10102 17:04:00833 ::  0102 17:04:00833 :: 1300102 17:04:00833 ::  0102 17:04:00833 :: BUTTON_CHANGEQUIP CHANGEQUIP
0102 17:04:00833 :: 
0102 17:04:00834 :: 10102 17:04:00834 ::  0102 17:04:00834 :: 3130102 17:04:00834 ::  0102 17:04:00834 :: PRICE Preço:
0102 17:04:00835 :: 
0102 17:04:00835 :: importing from pack uiaffectshower
0102 17:04:00847 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:00849 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00849 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00849 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:00849 :: importing from lib Js4k2l7BrdasmVRt8Wem
0102 17:04:00850 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:00850 :: importing from sys.modules ui
0102 17:04:00850 :: importing from lib dbg
0102 17:04:00850 :: importing from lib math
0102 17:04:00851 :: importing from lib skill
0102 17:04:00852 :: importing from sys.modules uicommon
0102 17:04:00852 :: importing from sys.modules uitooltip
0102 17:04:00852 :: importing from sys.modules localeinfo
0102 17:04:00852 :: importing from pack uiplayergauge
0102 17:04:00854 :: importing from sys.modules ui
0102 17:04:00854 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00854 :: importing from lib Js4k2l7BrdasmVRt8Wem
0102 17:04:00855 :: importing from lib textTail
0102 17:04:00855 :: importing from pack uitarget
0102 17:04:00877 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00878 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:00878 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:00878 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00878 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:00879 :: importing from sys.modules ui
0102 17:04:00879 :: importing from lib wndMgr
0102 17:04:00879 :: importing from lib messenger
0102 17:04:00879 :: importing from lib guild
0102 17:04:00879 :: importing from lib Js4k2l7BrdasmVRt8Wem
0102 17:04:00879 :: importing from lib nonplayer
0102 17:04:00879 :: importing from sys.modules localeinfo
0102 17:04:00880 :: importing from sys.modules constinfo
0102 17:04:00880 :: importing from lib background
0102 17:04:00880 :: importing from sys.modules uicommon
0102 17:04:00880 :: importing from sys.modules uitooltip
0102 17:04:00881 :: importing from pack uiprivateshopbuilder
0102 17:04:00891 :: importing from sys.modules ui
0102 17:04:00892 :: importing from lib snd
0102 17:04:00892 :: importing from lib shop
0102 17:04:00892 :: importing from sys.modules mousemodule
0102 17:04:00892 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00892 :: importing from lib Js4k2l7BrdasmVRt8Wem
0102 17:04:00892 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:00893 :: importing from sys.modules uicommon
0102 17:04:00893 :: importing from sys.modules localeinfo
0102 17:04:00893 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:00893 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:00893 :: importing from lib systemSetting
0102 17:04:00894 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00894 :: importing from lib _weakref
0102 17:04:00894 :: importing from pack uiofflineshop
0102 17:04:00915 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00916 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00916 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:00916 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:00916 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:00917 :: importing from lib Js4k2l7BrdasmVRt8Wem
0102 17:04:00917 :: importing from lib snd
0102 17:04:00917 :: importing from lib shop
0102 17:04:00917 :: importing from lib wndMgr
0102 17:04:00917 :: importing from sys.modules ui
0102 17:04:00918 :: importing from sys.modules uicommon
0102 17:04:00918 :: importing from sys.modules uitooltip
0102 17:04:00918 :: importing from sys.modules mousemodule
0102 17:04:00918 :: importing from sys.modules localeinfo
0102 17:04:00918 :: importing from sys.modules constinfo
0102 17:04:00919 :: importing from sys.modules exception
0102 17:04:00919 :: importing from lib _weakref
0102 17:04:00919 :: importing from pack uiofflineshopbuilder
0102 17:04:00926 :: importing from sys.modules ui
0102 17:04:00927 :: importing from lib snd
0102 17:04:00927 :: importing from lib shop
0102 17:04:00927 :: importing from sys.modules mousemodule
0102 17:04:00927 :: importing from sys.modules uicommon
0102 17:04:00927 :: importing from sys.modules localeinfo
0102 17:04:00927 :: importing from lib systemSetting
0102 17:04:00927 :: importing from sys.modules exception
0102 17:04:00929 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00929 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00929 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:00929 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:00929 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:00930 :: importing from lib Js4k2l7BrdasmVRt8Wem
0102 17:04:00930 :: importing from lib L0E5ajNEGIFdtCIFglqo
0102 17:04:00930 :: importing from lib _weakref
0102 17:04:00930 :: importing from sys.modules mousemodule
0102 17:04:00930 :: importing from pack interfacemodule
0102 17:04:00965 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:00965 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:00965 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00965 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00966 :: importing from sys.modules constinfo
0102 17:04:00966 :: importing from lib systemSetting
0102 17:04:00966 :: importing from lib wndMgr
0102 17:04:00966 :: importing from pack uichat
0102 17:04:01001 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:01001 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01002 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01002 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01002 :: importing from sys.modules ui
0102 17:04:01002 :: importing from lib grp
0102 17:04:01003 :: importing from lib wndMgr
0102 17:04:01003 :: importing from lib ime
0102 17:04:01003 :: importing from sys.modules localeinfo
0102 17:04:01003 :: importing from lib systemSetting
0102 17:04:01004 :: importing from lib re
0102 17:04:01004 :: importing from sys.modules exception
0102 17:04:01005 :: importing from pack uiemojis
0102 17:04:01081 :: importing from sys.modules ui
0102 17:04:01081 :: importing from lib os
0102 17:04:01082 :: importing from lib ime
0102 17:04:01083 :: importing from pack uimessenger
0102 17:04:01102 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01103 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01103 :: importing from sys.modules ui
0102 17:04:01103 :: importing from lib grp
0102 17:04:01103 :: importing from lib guild
0102 17:04:01103 :: importing from lib messenger
0102 17:04:01104 :: importing from sys.modules localeinfo
0102 17:04:01104 :: importing from sys.modules uitooltip
0102 17:04:01104 :: importing from sys.modules exception
0102 17:04:01104 :: importing from pack uipopup
0102 17:04:01106 :: importing from sys.modules ui
0102 17:04:01106 :: importing from lib wndMgr
0102 17:04:01107 :: importing from lib grp
0102 17:04:01107 :: importing from pack component
0102 17:04:01112 :: importing from sys.modules ui
0102 17:04:01112 :: importing from sys.modules localeinfo
0102 17:04:01112 :: importing from pack wait
0102 17:04:01114 :: importing from sys.modules ui
0102 17:04:01114 :: importing from lib time
0102 17:04:01115 :: importing from sys.modules uicommon
0102 17:04:01116 :: importing from sys.modules ui
0102 17:04:01116 :: importing from pack uiwhisper
0102 17:04:01129 :: importing from sys.modules ui
0102 17:04:01129 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01129 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:01129 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01130 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01130 :: importing from sys.modules localeinfo
0102 17:04:01130 :: importing from lib ime
0102 17:04:01130 :: importing from sys.modules constinfo
0102 17:04:01130 :: importing from lib _weakref
0102 17:04:01131 :: importing from pack uiemojispm
0102 17:04:01209 :: importing from sys.modules ui
0102 17:04:01210 :: importing from lib os
0102 17:04:01210 :: importing from lib ime
0102 17:04:01211 :: importing from pack uishop
0102 17:04:01221 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01221 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01222 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:01222 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01222 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:01222 :: importing from lib Js4k2l7BrdasmVRt8Wem
0102 17:04:01222 :: importing from sys.modules ui
0102 17:04:01223 :: importing from lib snd
0102 17:04:01223 :: importing from lib shop
0102 17:04:01223 :: importing from lib wndMgr
0102 17:04:01223 :: importing from sys.modules uicommon
0102 17:04:01223 :: importing from sys.modules constinfo
0102 17:04:01224 :: importing from sys.modules localeinfo
0102 17:04:01224 :: importing from sys.modules mousemodule
0102 17:04:01224 :: importing from pack uishopamount
0102 17:04:01228 :: importing from lib wndMgr
0102 17:04:01228 :: importing from sys.modules ui
0102 17:04:01228 :: importing from lib ime
0102 17:04:01228 :: importing from lib _weakref
0102 17:04:01228 :: importing from pack uiexchange
0102 17:04:01237 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01237 :: importing from lib exchange
0102 17:04:01237 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01237 :: importing from sys.modules localeinfo
0102 17:04:01239 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:01239 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:01239 :: importing from sys.modules constinfo
0102 17:04:01239 :: importing from sys.modules ui
0102 17:04:01239 :: importing from sys.modules mousemodule
0102 17:04:01240 :: importing from pack uipickmoney
0102 17:04:01242 :: importing from lib wndMgr
0102 17:04:01242 :: importing from sys.modules ui
0102 17:04:01242 :: importing from lib ime
0102 17:04:01243 :: importing from sys.modules exception
0102 17:04:01243 :: importing from lib wndMgr
0102 17:04:01243 :: importing from lib snd
0102 17:04:01243 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01243 :: importing from sys.modules uicommon
0102 17:04:01243 :: importing from pack playersettingmodule
0102 17:04:01247 :: importing from lib Js4k2l7BrdasmVRt8Wem
0102 17:04:01247 :: importing from lib L0E5ajNEGIFdtCIFglqo
0102 17:04:01247 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01247 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01247 :: importing from lib _weakref
0102 17:04:01248 :: importing from pack uisystem
0102 17:04:01250 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01251 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01251 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:01251 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01251 :: importing from sys.modules ui
0102 17:04:01253 :: importing from sys.modules uiscriptlocale
0102 17:04:01254 :: importing from sys.modules networkmodule
0102 17:04:01254 :: importing from sys.modules constinfo
0102 17:04:01254 :: importing from lib event
0102 17:04:01255 :: importing from sys.modules uicommon
0102 17:04:01255 :: importing from pack uiconfig
0102 17:04:01273 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01274 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:01274 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01274 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01274 :: importing from sys.modules ui
0102 17:04:01274 :: importing from lib snd
0102 17:04:01275 :: importing from lib systemSetting
0102 17:04:01275 :: importing from sys.modules localeinfo
0102 17:04:01275 :: importing from sys.modules constinfo
0102 17:04:01275 :: importing from pack musicinfo
0102 17:04:01276 :: importing from pack uiselectmusic
0102 17:04:01281 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01281 :: importing from sys.modules ui
0102 17:04:01282 :: importing from sys.modules localeinfo
0102 17:04:01282 :: importing from sys.modules uiprivateshopbuilder
0102 17:04:01282 :: importing from sys.modules uiofflineshopbuilder
0102 17:04:01282 :: importing from lib sys
0102 17:04:01282 :: importing from lib subprocess
0102 17:04:01283 :: importing from lib _io
0102 17:04:01289 :: importing from lib builtins
0102 17:04:01290 :: importing from lib errno
0102 17:04:01291 :: importing from lib io
0102 17:04:01291 :: importing from lib locale
0102 17:04:01291 :: importing from lib _io
0102 17:04:01297 :: importing from lib sys
0102 17:04:01297 :: importing from lib encodings
0102 17:04:01297 :: importing from lib encodings.aliases
0102 17:04:01297 :: importing from lib re
0102 17:04:01298 :: importing from lib _collections_abc
0102 17:04:01298 :: importing from lib builtins
0102 17:04:01298 :: importing from lib functools
0102 17:04:01298 :: importing from lib _locale
0102 17:04:01300 :: importing from lib _locale
0102 17:04:01301 :: importing from lib os
0102 17:04:01301 :: importing from lib time
0102 17:04:01301 :: importing from lib signal
0102 17:04:01302 :: importing from lib _io
0102 17:04:01306 :: importing from lib _signal
0102 17:04:01306 :: importing from lib _signal
0102 17:04:01306 :: importing from lib enum
0102 17:04:01307 :: importing from lib sys
0102 17:04:01307 :: importing from lib threading
0102 17:04:01309 :: importing from lib _io
0102 17:04:01314 :: importing from lib os
0102 17:04:01314 :: importing from lib sys
0102 17:04:01315 :: importing from lib _thread
0102 17:04:01316 :: importing from lib functools
0102 17:04:01317 :: importing from lib time
0102 17:04:01317 :: importing from lib _weakrefset
0102 17:04:01317 :: importing from lib itertools
0102 17:04:01317 :: importing from lib _collections
0102 17:04:01318 :: importing from lib _thread
0102 17:04:01318 :: importing from lib _thread
0102 17:04:01318 :: importing from lib _thread
0102 17:04:01318 :: importing from lib warnings
0102 17:04:01318 :: importing from lib contextlib
0102 17:04:01319 :: importing from lib time
0102 17:04:01319 :: importing from lib types
0102 17:04:01319 :: importing from lib fcntl
0102 17:04:01319 :: importing from lib msvcrt
0102 17:04:01320 :: importing from lib _winapi
0102 17:04:01320 :: importing from lib _winapi
0102 17:04:01321 :: importing from pack uisystem_center
0102 17:04:01325 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01325 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01325 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:01326 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01326 :: importing from sys.modules ui
0102 17:04:01326 :: importing from sys.modules uiscriptlocale
0102 17:04:01326 :: importing from sys.modules networkmodule
0102 17:04:01326 :: importing from sys.modules constinfo
0102 17:04:01327 :: importing from lib event
0102 17:04:01327 :: importing from sys.modules uicommon
0102 17:04:01327 :: importing from sys.modules uiconfig
0102 17:04:01327 :: importing from pack uirestart
0102 17:04:01332 :: importing from lib dbg
0102 17:04:01332 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01333 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01333 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01333 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:01333 :: importing from sys.modules ui
0102 17:04:01333 :: importing from lib grp
0102 17:04:01334 :: importing from sys.modules uitooltip
0102 17:04:01334 :: importing from pack uiminimap
0102 17:04:01342 :: importing from sys.modules ui
0102 17:04:01342 :: importing from sys.modules uiscriptlocale
0102 17:04:01343 :: importing from lib wndMgr
0102 17:04:01343 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01343 :: importing from lib miniMap
0102 17:04:01343 :: importing from sys.modules localeinfo
0102 17:04:01343 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01344 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01344 :: importing from sys.modules constinfo
0102 17:04:01344 :: importing from lib background
0102 17:04:01344 :: importing from sys.modules exception
0102 17:04:01345 :: importing from pack uiparty
0102 17:04:01364 :: importing from sys.modules ui
0102 17:04:01364 :: importing from lib grp
0102 17:04:01364 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:01364 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:01364 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01364 :: importing from sys.modules uitooltip
0102 17:04:01364 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01364 :: importing from sys.modules localeinfo
0102 17:04:01364 :: importing from sys.modules mousemodule
0102 17:04:01365 :: importing from sys.modules wait
0102 17:04:01365 :: importing from sys.modules playersettingmodule
0102 17:04:01365 :: importing from sys.modules uicommon
0102 17:04:01365 :: importing from sys.modules exception
0102 17:04:01365 :: importing from pack uisafebox
0102 17:04:01379 :: importing from sys.modules ui
0102 17:04:01379 :: importing from sys.modules mousemodule
0102 17:04:01379 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01379 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01379 :: importing from lib snd
0102 17:04:01380 :: importing from lib safebox
0102 17:04:01380 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:01380 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01380 :: importing from sys.modules localeinfo
0102 17:04:01380 :: importing from lib _weakref
0102 17:04:01380 :: importing from pack uiguild
0102 17:04:01450 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:01450 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:01450 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:01450 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:01450 :: importing from lib Js4k2l7BrdasmVRt8Wem
0102 17:04:01450 :: importing from sys.modules ui
0102 17:04:01450 :: importing from lib grp
0102 17:04:01451 :: importing from lib snd
0102 17:04:01451 :: importing from lib skill
0102 17:04:01451 :: importing from lib guild
0102 17:04:01451 :: importing from lib wndMgr
0102 17:04:01451 :: importing from lib safebox
0102 17:04:01451 :: importing from sys.modules uicommon
0102 17:04:01451 :: importing from sys.modules constinfo
0102 17:04:01451 :: importing from sys.modules exception
0102 17:04:01451 :: importing from sys.modules localeinfo
0102 17:04:01451 :: importing from lib background
0102 17:04:01451 :: importing from sys.modules mousemodule
0102 17:04:01451 :: importing from sys.modules uipickmoney
0102 17:04:01452 :: importing from pack uiuploadmark
